x,y,z,A11,A12,A13,A21,A22,A23,A31,A32,A33
-0.015,0.0075,-0.015,-2.9426215028147493,1.3072278678163498,1.2828085776549871,-0.7325917807050001,1.0264877818516653,-1.45234151581459,3.6555448075599486,1.000083616804125,0.79803755084722
-0.015,0.0075,-0.0075,-4.369924771725022,1.7187617035922853,1.6194024229990585,-0.8943207583317209,1.4053649674578024,-1.8241083145947405,4.163363504324636,1.0234697045244594,0.6802139347526904
-0.015,0.0075,0.0,-6.222218720341222,2.2505146074687334,1.9336765814183028,-1.349612126616379,1.789797633541479,-2.120903599953235,4.846969611878714,0.9307203149680667,0.4715561598350529
-0.015,0.0075,0.0075,-8.844209688557928,2.7923016577031903,2.3275742121054432,-2.1734712730479764,2.188907684544073,-2.3261331614289547,5.2227925873361425,0.647680628293971,0.15531257609437826
-0.015,0.0075,0.015,-11.53433620673898,3.3734359981835995,2.748017878141107,-2.7977200347637647,2.484377439476269,-2.5918529371010064,4.236351384765018,0.2988125503246284,-0.11531107257505002
-0.015,0.015,-0.015,-2.7452442833402393,1.6050675151237357,0.9767305038152103,-1.4202941449327324,1.0831868474489819,-1.3767909403542833,3.2461381794252215,1.3454037168296513,0.5511510162302928
-0.015,0.015,-0.0075,-3.999130166191131,2.125267358155634,1.1867471453633667,-1.996279596328165,1.3767240920581956,-1.5840078341500143,3.8387897248829477,1.3687694037096305,0.3758676818382111
-0.015,0.015,0.0,-5.551314519957565,2.6989420708768765,1.4295442428064897,-2.6622205036681383,1.7174950188658893,-1.8068813413679978,4.524042021959787,1.250361486789072,0.21351231011240873
-0.015,0.015,0.0075,-7.730778489947246,3.4956185971309965,1.6372690653025797,-3.730578050718129,2.2126529821308645,-1.9629472054084312,4.092153392656179,1.0516421722521607,-0.009262286609204584
-0.015,0.015,0.015,-9.718872003460673,4.28180837038772,1.8576191821320747,-4.503204256485054,2.6138216510535295,-2.109907696429784,3.1449140135727043,0.6253677216123792,-0.24299486927174124
-0.0075,-0.015,-0.015,-2.5779925077952894,0.5864942249089612,2.3376442252770744,1.0499323828320986,1.1372237273568278,-1.844426343800102,2.338393252872177,0.48331485779299005,2.6900345253258444
-0.0075,-0.015,-0.0075,-3.6146584129170405,0.732734329950228,3.228407271891276,1.4396109090201188,1.3732488334105892,-2.6031280779740262,2.585636486389646,0.40068350762526106,2.9823137536787656
-0.0075,-0.015,0.0,-4.8535777410415735,0.8521413724068517,4.249093246272227,1.9745691201848679,1.581103517198256,-3.4377851370891115,2.687167050861836,0.2784117186040596,3.092509603942145
-0.0075,-0.015,0.0075,-6.449874005450162,0.9887913018718428,5.7635273593064085,2.5186390214965715,1.8019658042885118,-4.483570462666083,2.510875415272444,0.10092300558526006,2.9269502964379206
-0.0075,-0.015,0.015,-7.757989485094666,1.02617639902371,7.245351750652225,3.105312153233744,2.000341926028721,-5.700637952864475,1.689698054342756,-0.0668305002924182,2.120818248672461
-0.0075,-0.0075,-0.015,-2.8647160464962806,0.822411198390723,1.8946925115190112,0.6038734289942269,1.2407924986998795,-1.9007106785180299,2.6198360944448758,0.7711687480841994,1.9759836950810663
-0.0075,-0.0075,-0.0075,-3.9533766516816122,1.0290188072739985,2.5439689232676272,0.7729355200204892,1.540052370685956,-2.5958223650990964,2.9526726853598255,0.6909425239177258,2.1583676854630003
-0.0075,-0.0075,0.0,-5.430504862053775,1.2639171036054908,3.3198546859250953,1.0825936194846404,1.8711756261797396,-3.356002423655739,3.1856186750060975,0.5551081123589571,2.1284092168708977
-0.0075,-0.0075,0.0075,-7.037664238909961,1.4961651234482054,4.246753698527867,1.4127473463597038,2.172589583485928,-4.305434911261654,2.9506547631129725,0.36408643798219686,1.8668948038209647
-0.0075,-0.0075,0.015,-8.47157504187699,1.7121624453015527,5.127338738662879,1.9023475161349044,2.4818998576921345,-5.147031120609193,2.0607352446098544,0.13476605027231048,1.1550901094292514
-0.0075,0.0,-0.015,-2.9201587497874257,1.0274679154775566,1.5380894469283342,-0.009191055699524909,1.3564899403887065,-1.9776761645007912,2.7806730850873085,1.0070209805131018,1.5152734648836028
-0.0075,0.0,-0.0075,-4.055046848033909,1.4057481264765006,1.91565203954943,0.018730875067908628,1.702549325626639,-2.4787140545235613,3.1026779419170927,1.0101269940266666,1.4863614909944485
-0.0075,0.0,0.0,-5.46582707462117,1.7215978249055433,2.4945544797744037,-0.004337732820468678,2.1191620960327726,-3.070743969138029,3.294397020633541,0.9263150189380651,1.357029113279098
-0.0075,0.0,0.0075,-7.320485562811647,2.123856043731692,3.043799244538516,0.03006562188494124,2.6126472689517195,-3.75610098717756,3.2261427886531857,0.7303611068670305,1.0876144532433099
-0.0075,0.0,0.015,-9.265883946168971,2.519371796531048,3.656108173640607,0.009876849144069971,3.011432556430764,-4.365378791901076,2.39379712414836,0.39843638110013047,0.5838288366401472
-0.0075,0.0075,-0.015,-2.7752879965832236,1.3515286601235714,1.1767405551167607,-0.569425841572022,1.4121630117978154,-1.8060401358910267,2.6338936232821495,1.461590594118243,1.0374653758959165
-0.0075,0.0075,-0.0075,-4.0367093800910325,1.74380451541929,1.5151297082930324,-0.7675292949878426,1.8124413854375738,-2.2349487255821017,3.1013963463037904,1.5108328555401909,0.9557661471784815
-0.0075,0.0075,0.0,-5.391061743487904,2.290776796688966,1.8185099491047838,-1.0574110656012339,2.338114768305922,-2.6973107343731644,3.1699715002802553,1.517318524526965,0.7676162715295632
-0.0075,0.0075,0.0075,-7.086433013458012,2.9581451933821836,2.1731361488590215,-1.3799612940809924,2.9758205703138603,-3.128342384621015,2.9605364840731747,1.3137904806614924,0.5198267808974484
